airport,Dane County Regional-Truax Field,MSN,"Madison, WI"
airport,Palm Springs International,PSP,"Palm Springs, CA"
airport,Wichita Mid-Continent,ICT,"Wichita, KS"
airport,Akron-Canton Regional,CAK,"Akron, OH"
airport,Myrtle Beach International,MYR,"Myrtle Beach, SC"
airport,Burlington International,BTV,"Burlington, VT"
airport,Pensacola Gulf Coast Regional,PNS,"Pensacola, FL"
airport,Sarasota/Bradenton International,SRQ,"Sarasota/Bradenton, FL"
airport,Hilo International,ITO,"Hilo, HI"
airport,Jackson-Evers International,JAN,"Jackson, MS"
airport,Greenville Spartanburg International,GSP,"Greer, SC"
airport,Harrisburg International,MDT,"Harrisburg, PA"
airport,Cyril E King,STT,"Charlotte Amalie, VI"
airport,Fresno Yosemite International,FAT,"Fresno, CA"
airport,Huntsville International-Carl T Jones Field,HSV,"Huntsville, AL"
airport,Lubbock Preston Smith International,LBB,"Lubbock, TX"
airport,Northwest Arkansas Regional,XNA,"Fayetteville/Springdale/, AR"
airport,Atlantic City International,ACY,"Atlantic City, NJ"
airport,Columbia Metropolitan,CAE,"Columbia, SC"
airport,Newport News/Williamsburg International,PHF,"Newport News, VA"
airport,Bishop International,FNT,"Flint, MI"
airport,The Eastern Iowa,CID,"Cedar Rapids, IA"
airport,Quad City International,MLI,"Moline, IL"
airport,Blue Grass,LEX,"Lexington, KY"
airport,Fairbanks International,FAI,"Fairbanks, AK"
airport,Midland International,MAF,"Midland, TX"
airport,Gulfport-Biloxi International,GPT,"Gulfport, MS"
airport,Wilmington International,ILM,"Wilmington, NC"
airport,Springfield-Branson National,SGF,"Springfield, MO"
airport,Billings Logan International,BIL,"Billings, MT"
airport,Rick Husband Amarillo International,AMA,"Amarillo, TX"
airport,Bangor International,BGR,"Bangor, ME"
airport,Francisco C. Ada/Saipan International,GSN,"Saipan Island, MP"
airport,St Petersburg-Clearwater International,PIE,"St Petersburg-Clearwater, FL"
airport,Santa Barbara Municipal,SBA,"Santa Barbara, CA"
airport,Lehigh Valley International,ABE,"Allentown, PA"
airport,Eglin AFB,VPS,"Valparaiso, FL"
airport,Valley International,HRL,"Harlingen, TX"
airport,McAllen Miller International,MFE,"McAllen, TX"
airport,Tallahassee Regional,TLH,"Tallahassee, FL"
airport,Hector International,FAR,"Fargo, ND"
airport,Corpus Christi International,CRP,"Corpus Christi, TX"
airport,Austin Straubel International,GRB,"Green Bay, WI"
airport,"Baton Rouge Metropolitan, Ryan Field",BTR,"Baton Rouge, LA"
airport,Gallatin Field,BZN,"Bozeman, MT"
airport,Mahlon Sweet Field,EUG,"Eugene, OR"
airport,Juneau International,JNU,"Juneau, AK"
airport,Joe Foss Field,FSD,"Sioux Falls, SD"
airport,Bellingham International,BLI,"Bellingham, WA"
airport,South Bend Regional,SBN,"South Bend, IN"
airport,Lovell Field,CHA,"Chattanooga, TN"
airport,Grand Canyon National Park,GCN,"Grand Canyon, AZ"
