"name","Kalamazoo/Battle Creek International"
"name","University Park"
"name","Gainesville Regional"
"name","Rochester International"
"name","Duluth International"
"name","Yampa Valley"
"name","Erie International/Tom Ridge Field"
"name","Albert J Ellis"
"name","San Luis County Regional"
"name","Elmira/Corning Regional"
"name","Coastal Carolina Regional"
"name","Melbourne International"
"name","Ithaca Tompkins Regional"
"name","Laughlin/Bullhead International"
"name","La Crosse Municipal"
"name","Tri-State/Milton J. Ferguson Field"
"name","Meadows Field"
"name","Arcata"
"name","Laredo International"
"name","Greater Binghamton/Edwin A Link Field"
"name","Grand Forks International"
"name","Ketchikan International"
"name","Chicago/Rockford International"
"name","Toledo Express"
"name","Montrose Regional"
"name","Charles M. Schulz - Sonoma County"
"name","Mercedita"
"name","Helena Regional"
"name","University of Illinois-Willard"
"name","Lynchburg Regional/Preston Glenn Field"
"name","Monroe Regional"
"name","Kenai Municipal"
"name","Abilene Regional"
"name","Brownsville/South Padre Island International"
"name","Kodiak"
"name","Yuma MCAS/Yuma International"
"name","Florence Regional"
"name","Fort Smith Regional"
"name","Casper/Natrona County International"
"name","Tyler Pounds Regional"
"name","Easterwood Field"
"name","Plattsburgh International"
"name","Lawton-Fort Sill Regional"
"name","Minot International"
"name","Hilton Head"
"name","Flagstaff Pulliam"
"name","Waco Regional"
"name","Molokai"
"name","Charlotte County"
"name","Grand Canyon West"
"name","Sitka Rocky Gutierrez"
"name","Lewiston-Nez Perce County"
"name","San Angelo Regional/Mathis Field"
"name","Yakima Air Terminal/McAllister Field"
"name","Salisbury-Ocean City Wicomico Regional"
"name","Pitt-Greenville"
"name","Abraham Lincoln Capital"
"name","Ralph Wien Memorial"
"name","Lake Charles Regional"
"name","Nome"
"name","Redding Municipal"
"name","Sawyer International"
"name","Pangborn Memorial"
"name","Friedman Memorial"
"name","Columbus Metropolitan"
"name","Sheppard AFB/Wichita Falls Municipal"
"name","Santa Maria Public/Capt. G Allan Hancock Field"
"name","Pago Pago International"
"name","Lanai"
"name","Marthas Vineyard"
"name","Gunnison-Crested Butte Regional"
"name","Dothan Regional"
"name","Valdosta Regional"
"name","King Salmon"
"name","Wiley Post-Will Rogers Memorial"
"name","Dubuque Regional"
"name","St George Municipal"
"name","Homer"
"name","Roswell International Air Center"
"name","Golden Triangle Regional"
"name","Boeing Field/King County International"
"name","Walla Walla Regional"
