"airports","NYC","New York, NY","New York","NY"
"airports","CHS","Charleston AFB/International","Charleston, SC","Charleston","SC"
"airports","SYR","Syracuse Hancock International","Syracuse, NY","Syracuse","NY"
"airports","HPN","Westchester County","White Plains, NY","White Plains","NY"
"airports","COS","City of Colorado Springs Municipal","Colorado Springs, CO","Colorado Springs","CO"
"airports","ISP","Long Island MacArthur","New York, NY","New York","NY"
"airports","GRR","Gerald R. Ford International","Grand Rapids, MI","Grand Rapids","MI"
"airports","PWM","Portland International Jetport","Portland, ME","Portland","ME"
"airports","GSO","Piedmont Triad International","Greensboro, NC","Greensboro","NC"
"airports","DSM","Des Moines International","Des Moines, IA","Des Moines","IA"
"airports","SFB","Orlando Sanford International","Orlando, FL","Orlando","FL"
"airports","TYS","McGhee Tyson","Knoxville, TN","Knoxville","TN"
"airports","SAV","Savannah/Hilton Head International","Savannah, GA","Savannah","GA"
"airports","MSN","Dane County Regional-Truax Field","Madison, WI","Madison","WI"
"airports","PSP","Palm Springs International","Palm Springs, CA","Palm Springs","CA"
"airports","ICT","Wichita Mid-Continent","Wichita, KS","Wichita","KS"
"airports","CAK","Akron-Canton Regional","Akron, OH","Akron","OH"
"airports","MYR","Myrtle Beach International","Myrtle Beach, SC","Myrtle Beach","SC"
"airports","BTV","Burlington International","Burlington, VT","Burlington","VT"
"airports","PNS","Pensacola Gulf Coast Regional","Pensacola, FL","Pensacola","FL"
"airports","SRQ","Sarasota/Bradenton International","Sarasota/Bradenton, FL","Sarasota/Bradenton","FL"
"airports","ITO","Hilo International","Hilo, HI","Hilo","HI"
"airports","JAN","Jackson-Evers International","Jackson, MS","Jackson","MS"
"airports","GSP","Greenville Spartanburg International","Greer, SC","Greer","SC"
"airports","MDT","Harrisburg International","Harrisburg, PA","Harrisburg","PA"
"airports","STT","Cyril E King","Charlotte Amalie, VI","Charlotte Amalie","VI"
"airports","FAT","Fresno Yosemite International","Fresno, CA","Fresno","CA"
"airports","HSV","Huntsville International-Carl T Jones Field","Huntsville, AL","Huntsville","AL"
"airports","LBB","Lubbock Preston Smith International","Lubbock, TX","Lubbock","TX"
"airports","XNA","Northwest Arkansas Regional","Fayetteville/Springdale/, AR","Fayetteville/Springdale/","AR"
"airports","ACY","Atlantic City International","Atlantic City, NJ","Atlantic City","NJ"
"airports","CAE","Columbia Metropolitan","Columbia, SC","Columbia","SC"
"airports","PHF","Newport News/Williamsburg International","Newport News, VA","Newport News","VA"
"airports","FNT","Bishop International","Flint, MI","Flint","MI"
"airports","CID","The Eastern Iowa","Cedar Rapids, IA","Cedar Rapids","IA"
"airports","MLI","Quad City International","Moline, IL","Moline","IL"
"airports","LEX","Blue Grass","Lexington, KY","Lexington","KY"
"airports","FAI","Fairbanks International","Fairbanks, AK","Fairbanks","AK"
"airports","MAF","Midland International","Midland, TX","Midland","TX"
"airports","GPT","Gulfport-Biloxi International","Gulfport, MS","Gulfport","MS"
"airports","ILM","Wilmington International","Wilmington, NC","Wilmington","NC"
"airports","SGF","Springfield-Branson National","Springfield, MO","Springfield","MO"
"airports","BIL","Billings Logan International","Billings, MT","Billings","MT"
"airports","AMA","Rick Husband Amarillo International","Amarillo, TX","Amarillo","TX"
"airports","BGR","Bangor International","Bangor, ME","Bangor","ME"
"airports","GSN","Francisco C. Ada/Saipan International","Saipan Island, MP","Saipan Island","MP"
"airports","PIE","Clearwater, FL - St Petersburg-Clearwater International","St Petersburg","St Petersburg"
"airports","SBA","Santa Barbara Municipal","Santa Barbara, CA","Santa Barbara","CA"
"airports","ABE","Lehigh Valley International","Allentown, PA","Allentown","PA"
"airports","VPS","Eglin AFB","Valparaiso, FL","Valparaiso","FL"
"airports","HRL","Valley International","Harlingen, TX","Harlingen","TX"
"airports","MFE","McAllen Miller International","McAllen, TX","McAllen","TX"
"airports","TLH","Tallahassee Regional","Tallahassee, FL","Tallahassee","FL"
"airports","FAR","Hector International","Fargo, ND","Fargo","ND"
"airports","CRP","Corpus Christi International","Corpus Christi, TX","Corpus Christi","TX"
"airports","GRB","Austin Straubel International","Green Bay, WI","Green Bay","WI"
"airports","BTR","Baton Rouge Metropolitan, Ryan Field","Baton Rouge, LA","Baton Rouge","LA"
"airports","BZN","Gallatin Field","Bozeman, MT","Bozeman","MT"
"airports","EUG","Mahlon Sweet Field","Eugene, OR","Eugene","OR"
"airports","JNU","Juneau International","Juneau, AK","Juneau","AK"
"airports","FSD","Joe Foss Field","Sioux Falls, SD","Sioux Falls","SD"
"airports","BLI","Bellingham International","Bellingham, WA","Bellingham","WA"
"airports","SBN","South Bend Regional","South Bend, IN","South Bend","IN"
"airports","CHA","Lovell Field","Chattanooga, TN","Chattanooga","TN"
"airports","GCN","Grand Canyon National Park","Grand Canyon, AZ","Grand Canyon","AZ"
"airports","ROA","Roanoke Regional/Woodrum Field","Roanoke, VA","Roanoke","VA"
"airports","AVL","Asheville Regional","Asheville, NC","Asheville","NC"
"airports","IWA","Phoenix-Mesa Gateway","Phoenix, AZ","Phoenix","AZ"
"airports","MFR","Rogue Valley International - Medford","Medford, OR","Medford","OR"
"airports","JAC","Jackson Hole","Jackson, WY","Jackson","WY"
"airports","MSO","Missoula International","Missoula, MT","Missoula","MT"
"airports","MOB","Mobile Regional","Mobile, AL","Mobile","AL"
"airports","ATW","Outagamie County Regional","Appleton, WI","Appleton","WI"
"airports","RAP","Rapid City Regional","Rapid City, SD","Rapid City","SD"
"airports","FWA","Fort Wayne International","Fort Wayne, IN","Fort Wayne","IN"
"airports","PSC","Tri-Cities","Pasco, WA","Pasco","WA"
"airports","BMI","Central IL Regional Airport at Bloomington-Normal","Bloomington/Normal, IL","Bloomington/Normal","IL"
"airports","SHV","Shreveport Regional","Shreveport, LA","Shreveport","LA"
"airports","PIA","General Downing - Peoria International","Peoria, IL","Peoria","IL"
"airports","CRW","Yeager","Charleston, WV","Charleston","WV"
"airports","EYW","Key West International","Key West, FL","Key West","FL"
"airports","GRK","Robert Gray AAF","Fort Hood/Killeen, TX","Fort Hood/Killeen","TX"
"airports","FAY","Fayetteville Regional/Grannis Field","Fayetteville, NC","Fayetteville","NC"
"airports","GJT","Grand Junction Regional","Grand Junction, CO","Grand Junction","CO"
"airports","BQN","Rafael Hernandez","Aguadilla, PR","Aguadilla","PR"
"airports","RDM","Roberts Field","Redmond, OR","Redmond","OR"
"airports","TRI","Tri-Cities Regional TN/VA","Bristol/Johnson/Kingsport, TN","Bristol/Johnson/Kingsport","TN"
"airports","ASE","Aspen-Pitkin County/Sardy Field","Aspen, CO","Aspen","CO"
"airports","LFT","Lafayette Regional","Lafayette, LA","Lafayette","LA"
"airports","ACK","Nantucket Memorial","Nantucket, MA","Nantucket","MA"
"airports","AVP","Barre/Scranton, PA - Wilkes-Barre/Scranton International","Wilkes","Wilkes"
"airports","DAB","Daytona Beach International","Daytona Beach, FL","Daytona Beach","FL"
"airports","AGS","Augusta Regional at Bush Field","Augusta, GA","Augusta","GA"
"airports","SWF","Stewart International","Newburgh, NY","Newburgh","NY"
"airports","BVU","Boulder City Municipal","Boulder City, NV","Boulder City","NV"
"airports","MRY","Monterey Peninsula","Monterey, CA","Monterey","CA"
"airports","BIS","Bismarck Municipal","Bismarck, ND","Bismarck","ND"
"airports","EGE","Eagle County Regional","Eagle, CO","Eagle","CO"
"airports","CHO","Charlottesville-Albemarle","Charlottesville, VA","Charlottesville","VA"
"airports","TVC","Cherry Capital","Traverse City, MI","Traverse City","MI"
"airports","STX","Henry E Rohlsen","Christiansted, VI","Christiansted","VI"
"airports","MGM","Montgomery Regional (Dannelly Field)","Montgomery, AL","Montgomery","AL"
"airports","GPI","Glacier Park International","Kalispell, MT","Kalispell","MT"
"airports","AEX","Alexandria International","Alexandria, LA","Alexandria","LA"
"airports","EVV","Evansville Regional","Evansville, IN","Evansville","IN"
"airports","ECP","Northwest Florida Beaches International","Panama City, FL","Panama City","FL"
"airports","DRO","Durango-La Plata County","Durango, CO","Durango","CO"
"airports","GTF","Great Falls International","Great Falls, MT","Great Falls","MT"
"airports","CWA","Central Wisconsin","Mosinee, WI","Mosinee","WI"
"airports","MBS","MBS International","Saginaw, MI","Saginaw","MI"
"airports","LNK","Lincoln","Lincoln, NE","Lincoln","NE"
"airports","LAN","Capital Region International","Lansing, MI","Lansing","MI"
"airports","IDA","Idaho Falls Regional","Idaho Falls, ID","Idaho Falls","ID"
"airports","HYA","Barnstable Municipal-Boardman/Polando Field","Hyannis, MA","Hyannis","MA"
"airports","BET","Bethel","Bethel, AK","Bethel","AK"
"airports","AZO","Kalamazoo/Battle Creek International","Kalamazoo, MI","Kalamazoo","MI"
"airports","UNV","University Park","State College, PA","State College","PA"
"airports","GNV","Gainesville Regional","Gainesville, FL","Gainesville","FL"
"airports","RST","Rochester International","Rochester, MN","Rochester","MN"
"airports","DLH","Duluth International","Duluth, MN","Duluth","MN"
"airports","HDN","Yampa Valley","Hayden, CO","Hayden","CO"
"airports","ERI","Erie International/Tom Ridge Field","Erie, PA","Erie","PA"
"airports","OAJ","Albert J Ellis","Jacksonville, NC","Jacksonville","NC"
"airports","SBP","San Luis County Regional","San Luis Obispo, CA","San Luis Obispo","CA"
"airports","ELM","Elmira/Corning Regional","Elmira/Corning, NY","Elmira/Corning","NY"
"airports","EWN","Coastal Carolina Regional","New Bern, NC","New Bern","NC"
"airports","MLB","Melbourne International","Melbourne, FL","Melbourne","FL"
"airports","ITH","Ithaca Tompkins Regional","Ithaca, NY","Ithaca","NY"
"airports","IFP","Laughlin/Bullhead International","Bullhead City, AZ","Bullhead City","AZ"
"airports","LSE","La Crosse Municipal","La Crosse, WI","La Crosse","WI"
"airports","HTS","Tri-State/Milton J. Ferguson Field","Huntington, WV","Huntington","WV"
"airports","BFL","Meadows Field","Bakersfield, CA","Bakersfield","CA"
"airports","ACV","Arcata","Arcata/Eureka, CA","Arcata/Eureka","CA"
"airports","LRD","Laredo International","Laredo, TX","Laredo","TX"
